code,market_cap_yen
1401,11800000000
1885,358000000000
1963,619800000000
1979,253200000000
2138,7700000000
2136,6300000000
2153,34000000000
2186,7500000000
2127,234500000000
2160,159300000000
2156,1800000000
2148,38300000000
2207,44600000000
2206,401700000000
2204,19300000000
2195,5900000000
2181,549100000000
5537,28800000000
5590,13200000000
5858,3400000000
6092,5200000000
6136,271900000000
6674,523100000000
6888,5500000000
6932,41200000000
7256,14000000000
7425,8000000000
7674,6300000000
7850,2700000000
7906,348200000000
8097,159600000000
9083,26100000000
9115,26500000000
9271,7000000000
9636,11500000000
9778,4400000000
9896,47700000000
